Walc,guardian,Result
Very Low,mother,2
Very Low,mother,2
Very Low,mother,2
Very Low,mother,3
Very Low,mother,3
Very Low,mother,3
Very Low,mother,4
Very Low,mother,4
Very Low,mother,4
Very Low,mother,5
Very Low,mother,5
Very Low,mother,5
Very Low,mother,5
Very Low,mother,5
Very Low,mother,6
Very Low,mother,6
Very Low,mother,6
Very Low,mother,7
Very Low,mother,7
Very Low,mother,7
Very Low,mother,7
Very Low,mother,7
Very Low,mother,7
Very Low,mother,7
Very Low,mother,8
Very Low,mother,8
Very Low,mother,8
Very Low,mother,8
Very Low,mother,8
Very Low,mother,8
Very Low,mother,8
Very Low,mother,8
Very Low,mother,8
Very Low,mother,8
Very Low,mother,8
Very Low,mother,8
Very Low,mother,8
Very Low,mother,8
Very Low,mother,8
Very Low,mother,8
Very Low,mother,8
Very Low,mother,9
Very Low,mother,9
Very Low,mother,9
Very Low,mother,9
Very Low,mother,9
Very Low,mother,9
Very Low,mother,9
Very Low,mother,9
Very Low,mother,9
Very Low,mother,9
Very Low,mother,9
Very Low,mother,9
Very Low,mother,9
Very Low,mother,9
Very Low,mother,9
Very Low,mother,9
Very Low,mother,9
Very Low,mother,9
Very Low,mother,9
Very Low,mother,9
Very Low,mother,10
Very Low,mother,10
Very Low,mother,10
Very Low,mother,10
Very Low,mother,10
Very Low,mother,10
Very Low,mother,10
Very Low,mother,10
Very Low,mother,10
Very Low,mother,10
Very Low,mother,10
Very Low,mother,10
Very Low,mother,10
Very Low,mother,10
Very Low,mother,10
Very Low,mother,10
Very Low,mother,10
Very Low,mother,10
Very Low,mother,10
Very Low,mother,10
Very Low,mother,10
Very Low,mother,10
Very Low,mother,10
Very Low,mother,10
Very Low,mother,10
Very Low,mother,10
Very Low,mother,10
Very Low,mother,10
Very Low,mother,10
Very Low,mother,10
Very Low,mother,10
Very Low,mother,10
Very Low,mother,10
Very Low,mother,10
Very Low,mother,11
Very Low,mother,11
Very Low,mother,11
Very Low,mother,11
Very Low,mother,11
Very Low,mother,11
Very Low,mother,11
Very Low,mother,11
Very Low,mother,11
Very Low,mother,11
Very Low,mother,11
Very Low,mother,11
Very Low,mother,11
Very Low,mother,11
Very Low,mother,11
Very Low,mother,11
Very Low,mother,11
Very Low,mother,11
Very Low,mother,11
Very Low,mother,11
Very Low,mother,11
Very Low,mother,11
Very Low,mother,11
Very Low,mother,11
Very Low,mother,11
Very Low,mother,11
Very Low,mother,11
Very Low,mother,11
Very Low,mother,12
Very Low,mother,12
Very Low,mother,12
Very Low,mother,12
Very Low,mother,12
Very Low,mother,12
Very Low,mother,12
Very Low,mother,12
Very Low,mother,12
Very Low,mother,12
Very Low,mother,12
Very Low,mother,12
Very Low,mother,12
Very Low,mother,12
Very Low,mother,12
Very Low,mother,12
Very Low,mother,12
Very Low,mother,12
Very Low,mother,12
Very Low,mother,12
Very Low,mother,12
Very Low,mother,12
Very Low,mother,12
Very Low,mother,12
Very Low,mother,12
Very Low,mother,12
Very Low,mother,12
Very Low,mother,12
Very Low,mother,12
Very Low,mother,13
Very Low,mother,13
Very Low,mother,13
Very Low,mother,13
Very Low,mother,13
Very Low,mother,13
Very Low,mother,13
Very Low,mother,13
Very Low,mother,13
Very Low,mother,13
Very Low,mother,13
Very Low,mother,13
Very Low,mother,13
Very Low,mother,13
Very Low,mother,13
Very Low,mother,13
Very Low,mother,13
Very Low,mother,13
Very Low,mother,13
Very Low,mother,13
Very Low,mother,13
Very Low,mother,13
Very Low,mother,13
Very Low,mother,13
Very Low,mother,13
Very Low,mother,13
Very Low,mother,13
Very Low,mother,13
Very Low,mother,13
Very Low,mother,13
Very Low,mother,13
Very Low,mother,13
Very Low,mother,13
Very Low,mother,13
Very Low,mother,13
Very Low,mother,13
Very Low,mother,13
Very Low,mother,13
Very Low,mother,13
Very Low,mother,13
Very Low,mother,13
Very Low,mother,14
Very Low,mother,14
Very Low,mother,14
Very Low,mother,14
Very Low,mother,14
Very Low,mother,14
Very Low,mother,14
Very Low,mother,14
Very Low,mother,14
Very Low,mother,14
Very Low,mother,14
Very Low,mother,14
Very Low,mother,14
Very Low,mother,14
Very Low,mother,14
Very Low,mother,14
Very Low,mother,14
Very Low,mother,14
Very Low,mother,14
Very Low,mother,14
Very Low,mother,14
Very Low,mother,14
Very Low,mother,14
Very Low,mother,14
Very Low,mother,14
Very Low,mother,15
Very Low,mother,15
Very Low,mother,15
Very Low,mother,15
Very Low,mother,15
Very Low,mother,15
Very Low,mother,15
Very Low,mother,15
Very Low,mother,15
Very Low,mother,15
Very Low,mother,15
Very Low,mother,15
Very Low,mother,15
Very Low,mother,15
Very Low,mother,15
Very Low,mother,15
Very Low,mother,15
Very Low,mother,15
Very Low,mother,15
Very Low,mother,15
Very Low,mother,16
Very Low,mother,16
Very Low,mother,16
Very Low,mother,16
Very Low,mother,16
Very Low,mother,16
Very Low,mother,16
Very Low,mother,16
Very Low,mother,16
Very Low,mother,16
Very Low,mother,16
Very Low,mother,16
Very Low,mother,16
Very Low,mother,16
Very Low,mother,16
Very Low,mother,16
Very Low,mother,16
Very Low,mother,16
Very Low,mother,16
Very Low,mother,17
Very Low,mother,17
Very Low,mother,17
Very Low,mother,17
Very Low,mother,17
Very Low,mother,17
Very Low,mother,17
Very Low,mother,17
Very Low,mother,17
Very Low,mother,17
Very Low,mother,17
Very Low,mother,17
Very Low,mother,18
Very Low,mother,18
Very Low,mother,18
Very Low,mother,18
Very Low,mother,18
Very Low,mother,18
Very Low,mother,19
Very Low,mother,19
Very Low,mother,19
Very Low,mother,19
Very Low,mother,20
Low,mother,2
Low,mother,2
Low,mother,2
Low,mother,3
Low,mother,4
Low,mother,4
Low,mother,5
