Walc,guardian,Result
1,father,5
1,father,6
1,father,6
1,father,7
1,father,7
1,father,7
1,father,8
1,father,9
1,father,9
1,father,9
1,father,9
1,father,9
1,father,10
1,father,10
1,father,10
1,father,10
1,father,10
1,father,10
1,father,11
1,father,11
1,father,11
1,father,11
1,father,11
1,father,11
1,father,11
1,father,11
1,father,11
1,father,11
1,father,11
1,father,11
1,father,11
1,father,11
1,father,11
1,father,11
1,father,12
1,father,12
1,father,12
1,father,12
1,father,12
1,father,12
1,father,12
1,father,12
1,father,12
1,father,13
1,father,13
1,father,13
1,father,13
1,father,13
1,father,13
1,father,13
1,father,13
1,father,13
1,father,13
1,father,14
1,father,14
1,father,14
1,father,14
1,father,14
1,father,14
1,father,14
1,father,14
1,father,14
1,father,14
1,father,14
1,father,15
1,father,15
1,father,15
1,father,15
1,father,15
1,father,15
1,father,15
1,father,15
1,father,15
1,father,15
1,father,15
1,father,15
1,father,16
1,father,16
1,father,16
1,father,17
1,father,17
1,father,17
1,father,17
1,father,18
1,father,18
1,father,18
1,father,18
1,father,19
2,father,4
2,father,4
2,father,6
2,father,7
2,father,7
2,father,8
2,father,9
2,father,9
2,father,9
2,father,10
2,father,10
2,father,10
2,father,10
2,father,10
2,father,10
2,father,10
2,father,11
2,father,11
2,father,11
2,father,11
2,father,11
2,father,11
2,father,11
2,father,11
2,father,11
2,father,12
2,father,12
2,father,12
2,father,12
2,father,12
2,father,12
2,father,13
2,father,13
2,father,13
2,father,13
2,father,13
2,father,13
2,father,13
2,father,13
2,father,13
2,father,13
2,father,13
2,father,13
2,father,13
2,father,13
2,father,13
2,father,14
2,father,14
2,father,14
2,father,14
2,father,14
2,father,14
2,father,14
2,father,15
2,father,15
2,father,16
2,father,16
2,father,18
2,father,18
3,father,2
3,father,5
3,father,6
3,father,7
3,father,7
3,father,8
3,father,9
3,father,9
3,father,9
3,father,9
3,father,9
3,father,10
3,father,10
3,father,10
3,father,10
3,father,10
3,father,11
3,father,11
3,father,12
3,father,12
3,father,12
3,father,12
3,father,12
3,father,12
3,father,12
3,father,12
3,father,13
3,father,13
3,father,13
3,father,13
3,father,13
3,father,14
3,father,14
3,father,15
3,father,15
3,father,15
3,father,15
3,father,16
3,father,16
3,father,16
3,father,16
3,father,17
3,father,18
3,father,18
3,father,18
4,father,4
4,father,6
4,father,7
4,father,7
4,father,8
4,father,8
4,father,9
4,father,10
4,father,10
4,father,10
4,father,10
4,father,10
4,father,10
4,father,10
4,father,10
4,father,10
4,father,10
4,father,11
4,father,11
4,father,11
4,father,11
4,father,12
4,father,12
4,father,12
4,father,12
4,father,13
4,father,13
4,father,13
4,father,14
4,father,14
4,father,14
4,father,15
4,father,18
5,father,5
5,father,7
5,father,8
5,father,10
5,father,10
5,father,10
5,father,11
5,father,11
5,father,11
5,father,11
5,father,12
5,father,12
5,father,12
5,father,13
5,father,14
5,father,14
5,father,16
5,father,16
